dataset,instance,num_nodes_base,team_size_base,runs_base,reference_best_score_base,best_score_base,mean_score_base,std_score_base,mean_cpu_time_seconds_base,median_cpu_time_seconds_base,mean_lp_solves_base,mean_labels_generated_base,success_rate_percent_base,mean_gap_to_reference_best_percent_base,max_gap_to_reference_best_percent_base,num_nodes_improved,team_size_improved,runs_improved,reference_best_score_improved,best_score_improved,mean_score_improved,std_score_improved,mean_cpu_time_seconds_improved,median_cpu_time_seconds_improved,mean_lp_solves_improved,mean_labels_generated_improved,success_rate_percent_improved,mean_gap_to_reference_best_percent_improved,max_gap_to_reference_best_percent_improved,score_delta,cpu_delta,gap_delta
chao,p5.2.m.txt,66,2,1,810.0,810.0,810.0,0.0,1.9466051999479528,1.9466051999479528,2.0,323136.0,100.0,0.0,0.0,66,2,2,810.0,810.0,810.0,0.0,6.59630505007226,6.59630505007226,6.0,969408.0,100.0,0.0,0.0,0.0,4.649699850124307,0.0
chao,p5.2.n.txt,66,2,1,830.0,830.0,830.0,0.0,1.9221149999648333,1.9221149999648333,3.0,571793.0,100.0,0.0,0.0,66,2,2,830.0,830.0,830.0,0.0,9.120108850009274,9.120108850009274,9.0,1650556.5,100.0,0.0,0.0,0.0,7.1979938500444405,0.0
chao,p5.2.o.txt,66,2,1,940.0,940.0,940.0,0.0,1.5233604999957606,1.5233604999957606,2.0,396264.0,100.0,0.0,0.0,66,2,2,940.0,940.0,940.0,0.0,5.994342599995434,5.994342599995434,6.0,1188792.0,100.0,0.0,0.0,0.0,4.470982099999674,0.0
chao,p5.2.p.txt,66,2,1,1000.0,1000.0,1000.0,0.0,1.549172000028193,1.549172000028193,2.0,396264.0,100.0,0.0,0.0,66,2,2,1000.0,1000.0,1000.0,0.0,4.987969150010031,4.987969150010031,6.0,1188792.0,100.0,0.0,0.0,0.0,3.4387971499818377,0.0
chao,p5.2.q.txt,66,2,1,1060.0,1060.0,1060.0,0.0,1.4321420999476686,1.4321420999476686,2.0,396264.0,100.0,0.0,0.0,66,2,2,1060.0,1060.0,1060.0,0.0,4.6934391001123,4.6934391001123,6.0,1188792.0,100.0,0.0,0.0,0.0,3.2612970001646318,0.0
chao,p5.2.r.txt,66,2,1,1050.0,1050.0,1050.0,0.0,1.45590409997385,1.45590409997385,2.0,396264.0,100.0,0.0,0.0,66,2,2,1060.0,1060.0,1060.0,0.0,4.916711500030942,4.916711500030942,6.0,1188792.0,100.0,0.0,0.0,10.0,3.4608074000570923,0.0
chao,p5.2.s.txt,66,2,1,1060.0,1060.0,1060.0,0.0,1.598925200058147,1.598925200058147,2.0,396264.0,100.0,0.0,0.0,66,2,2,1060.0,1060.0,1060.0,0.0,4.885278849978931,4.885278849978931,6.0,1188792.0,100.0,0.0,0.0,0.0,3.286353649920784,0.0
chao,p5.2.t.txt,66,2,1,1060.0,1060.0,1060.0,0.0,1.416381400078535,1.416381400078535,2.0,396264.0,100.0,0.0,0.0,66,2,2,1060.0,1060.0,1060.0,0.0,5.089315600052942,5.089315600052942,6.0,1188792.0,100.0,0.0,0.0,0.0,3.6729341999744065,0.0
chao,p5.2.u.txt,66,2,1,1060.0,1060.0,1060.0,0.0,1.4478887000586838,1.4478887000586838,2.0,396264.0,100.0,0.0,0.0,66,2,2,1060.0,1060.0,1060.0,0.0,5.008072199940216,5.008072199940216,6.0,1188792.0,100.0,0.0,0.0,0.0,3.560183499881532,0.0
chao,p5.2.v.txt,66,2,1,1060.0,1060.0,1060.0,0.0,1.5248496000422165,1.5248496000422165,2.0,396264.0,100.0,0.0,0.0,66,2,2,1060.0,1060.0,1060.0,0.0,5.156616699940059,5.156616699940059,6.5,1287858.0,100.0,0.0,0.0,0.0,3.631767099897843,0.0
